centroid_x_m,centroid_y_m,cell_id,qnr,qname,knr,kname,pop_total,pop_60plus,pop_80plus,share_60plus,share_80plus,hh_total,hh_einpersonen,share_einpersonen,pop_szenario_now,pop_szenario_future,growth_10y,dist_nearest_spitex_m,n_spitex_1000m,dist_nearest_oev_m,n_oev_stops_500m,demand_score,undersupply_score,accessibility_score,growth_score
2682524.694,1242284.105,0,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1425.7623577759327,0,707.8900342997504,0,0.3543681184503833,0.46075087930301745,0.6323054982132288,0.1616044881170646
2682324.694,1242484.105,1,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1145.217141353823,0,733.2616863445414,0,0.3543681184503833,0.36998290262870326,0.6190117100716057,0.1616044881170646
2682524.694,1242484.105,2,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1275.222451516101,0,565.9949652257467,0,0.3543681184503833,0.41204499554491897,0.7066531592674112,0.1616044881170646
2682524.694,1242684.105,3,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1139.9939915853427,0,468.60676548774535,2,0.3543681184503833,0.3682929977271043,0.7576809004852665,0.1616044881170646
2682924.694,1242684.105,4,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1472.7275039364567,0,157.94777827178842,2,0.3543681184503833,0.47594604586322775,0.9204544854709558,0.1616044881170646
2682724.694,1242684.105,5,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1301.636009355455,0,286.82730110807165,2,0.3543681184503833,0.420590873576362,0.8529264794367261,0.1616044881170646
2682524.694,1242884.105,6,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1026.148284046039,0,322.6006829828838,3,0.3543681184503833,0.331459204379331,0.8341825774269722,0.1616044881170646
2682724.694,1242884.105,7,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1203.183402832146,0,200.34542335917885,3,0.3543681184503833,0.3887373848361103,0.8982397195384704,0.1616044881170646
2682924.694,1242884.105,8,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1386.4776597013217,0,64.72635213718283,2,0.3543681184503833,0.4480406552472679,0.9692989945752749,0.1616044881170646
2682724.694,1243084.105,9,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1131.832275936099,0,147.5814644898239,4,0.3543681184503833,0.3656523452678647,0.9258860426665116,0.1616044881170646
2683124.694,1242884.105,10,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1573.8457042705825,0,163.91186857894164,3,0.3543681184503833,0.5086619644104428,0.9173295272356452,0.1616044881170646
2683324.694,1243084.105,11,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1546.8988205219205,0,189.86876694443367,3,0.3543681184503833,0.49994353339694125,0.9037290921092562,0.1616044881170646
2683124.694,1243084.105,12,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1480.0829574493596,0,268.2079205785475,3,0.3543681184503833,0.4783258391863961,0.8626823321360608,0.1616044881170646
2682924.694,1243284.105,13,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1240.5759795079018,0,261.7248338637496,6,0.3543681184503833,0.4008354293894375,0.8660792249019771,0.1616044881170646
2683124.694,1243284.105,14,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1288.9061877933768,0,227.62809286408077,5,0.3543681184503833,0.4164722499856593,0.8839446303698268,0.1616044881170646
2683324.694,1243284.105,15,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1365.1115562224652,0,29.868857711540045,2,0.3543681184503833,0.44112783738880235,0.9875630061273898,0.1616044881170646
2683324.694,1243484.105,16,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1189.1859236183946,0,213.85543869863298,2,0.3543681184503833,0.3842086215836963,0.8911609813705451,0.1616044881170646
2683124.694,1243484.105,17,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1100.8690934584677,0,217.07598361176724,3,0.3543681184503833,0.3556344755613874,0.8894735373798974,0.1616044881170646
2682924.694,1243484.105,18,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1043.8689385799362,0,225.45264837889783,5,0.3543681184503833,0.33719256878275844,0.8850844811784706,0.1616044881170646
2682924.694,1243684.105,19,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,848.7025161574669,1,169.95994428380806,5,0.3543681184503833,0.27404816195958814,0.9141605638215542,0.1616044881170646
2682524.694,1243084.105,20,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,941.4745354233315,1,126.93778263785629,3,0.3543681184503833,0.30406374585777574,0.9367025528613796,0.1616044881170646
2682324.694,1243084.105,21,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,756.1113018930919,1,198.58398893405786,1,0.3543681184503833,0.244091075954778,0.8991626447004418,0.1616044881170646
2682924.694,1243084.105,22,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1325.0336980057532,0,82.81237021734616,5,0.3543681184503833,0.4281609932338211,0.9598226036702286,0.1616044881170646
2682524.694,1243284.105,23,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,894.2976578581238,1,90.30614963006782,4,0.3543681184503833,0.2888000754341004,0.9558961460742901,0.1616044881170646
2682324.694,1243284.105,24,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,696.4899861810032,1,177.41927928202887,3,0.3543681184503833,0.2248011152744137,0.9102521537988768,0.1616044881170646
2682724.694,1243284.105,25,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1092.9036100455692,0,173.52030619213636,4,0.3543681184503833,0.3530573123438412,0.9122950685501676,0.1616044881170646
2682524.694,1243484.105,26,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,890.5965982702122,1,157.32949075432268,5,0.3543681184503833,0.2876026296368413,0.9207784447958467,0.1616044881170646
2682724.694,1243484.105,27,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1023.4314637199392,0,36.75998722803516,6,0.3543681184503833,0.33058020067670973,0.983952314332979,0.1616044881170646
2682524.694,1243684.105,28,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,846.0467841271452,2,56.52051539934019,6,0.3543681184503833,0.273188922846351,0.9735985433364295,0.1616044881170646
2682724.694,1243684.105,29,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,823.435219632941,1,229.3322843844666,6,0.3543681184503833,0.2658731468557469,0.8830516983295811,0.1616044881170646
2683524.694,1243284.105,30,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1464.8481016583894,0,173.1177306374072,1,0.3543681184503833,0.47339673345183,0.9125060029475855,0.1616044881170646
2683524.694,1243484.105,31,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1302.4644182979432,0,273.5173644598061,2,0.3543681184503833,0.4208588981198831,0.8599003839214675,0.1616044881170646
2683724.694,1243484.105,32,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1434.8045026874793,0,428.8232137619092,1,0.3543681184503833,0.4636763870300219,0.778525980152562,0.1616044881170646
2683724.694,1243684.105,33,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1299.7298030484174,0,555.6359857506393,0,0.3543681184503833,0.4199741370238011,0.7120808735629718,0.1616044881170646
2683524.694,1243684.105,34,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1151.9753300015639,0,430.9514852754496,2,0.3543681184503833,0.37216945607403373,0.7774108462007441,0.1616044881170646
2683924.694,1243684.105,35,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1459.9821782927158,0,705.5557728919368,0,0.3543681184503833,0.47182240606108977,0.6335285630955572,0.1616044881170646
2683924.694,1243884.105,36,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1357.2698924430454,0,838.2427742969998,0,0.3543681184503833,0.43859073494201795,0.5640055819860832,0.1616044881170646
2683724.694,1243884.105,37,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1183.186866446839,0,657.2965713140168,0,0.3543681184503833,0.3822676785572562,0.6588145634130835,0.1616044881170646
2683524.694,1243884.105,38,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1018.6661675604155,0,468.7869267173612,1,0.3543681184503833,0.32903843034759794,0.7575865028002589,0.1616044881170646
2683724.694,1244084.105,39,21,Wollishofen,2,Kreis 2,22029.0,4145.0,1095.0,0.188161060420355,0.049707204139997276,10273,4223,0.41107758201109706,22000.0,23830.0,0.08318181818181818,1091.1300385070072,0,738.9727888502762,0,0.3543681184503833,0.352483488622676,0.6160193078964419,0.1616044881170646
